question_number,question,options,source
73,Why is shadow IT important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
74,What are the benefits of shadow IT?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
75,What is zero trust?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
76,How does zero trust work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
77,Why is zero trust important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
78,What are the benefits of zero trust?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
79,What is CISA KEV?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
80,How does CISA KEV work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
81,Why is CISA KEV important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
82,What are the benefits of CISA KEV?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
83,What is SBOM?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
84,How does SBOM work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
85,Why is SBOM important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
86,What are the benefits of SBOM?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
